"Age","Primary.streaming.service","Hours.per.day","While.working","Instrumentalist","Composer","Fav.genre","Exploratory","Foreign.languages","BPM","Frequency..Classical.","Frequency..Country.","Frequency..EDM.","Frequency..Folk.","Frequency..Gospel.","Frequency..Hip.hop.","Frequency..Jazz.","Frequency..K.pop.","Frequency..Latin.","Frequency..Lofi.","Frequency..Metal.","Frequency..Pop.","Frequency..R.B.","Frequency..Rap.","Frequency..Rock.","Frequency..Video.game.music.","Anxiety","Depression","Insomnia","OCD","Music.effects"
16,"Spotify",0.5,"No","No","No","Rock","No","Yes",156,"Sometimes","Never","Rarely","Never","Never","Rarely","Rarely","Never","Never","Never","Never","Sometimes","Never","Never","Very frequently","Sometimes",8,0,0,0,"Improve"
20,"Apple Music",8,"Yes","Yes","Yes","Country","Yes","No",120,"Never","Very frequently","Never","Sometimes","Never","Rarely","Never","Never","Never","Never","Never","Rarely","Rarely","Rarely","Sometimes","Never",8,9,2,5,"No effect"
33,"Spotify",2,"Yes","No","No","Metal","Yes","Yes",136.673079065529,"Rarely","Rarely","Never","Rarely","Never","Sometimes","Never","Never","Never","Never","Very frequently","Never","Never","Sometimes","Sometimes","Sometimes",7,2,3,0,"Improve"
22,"Spotify",3,"Yes","Yes","Yes","Rock","Yes","Yes",90,"Never","Very frequently","Rarely","Sometimes","Never","Rarely","Sometimes","Never","Very frequently","Never","Rarely","Sometimes","Very frequently","Sometimes","Very frequently","Never",10,10,4,0,"Improve"
21,"Spotify",3,"Yes","No","No","Hip hop","Yes","Yes",85,"Never","Never","Rarely","Never","Never","Very frequently","Rarely","Never","Never","Sometimes","Never","Very frequently","Very frequently","Very frequently","Very frequently","Never",8,8,3,3,"Improve"
21,"Apple Music",5,"Yes","Yes","No","Metal","Yes","Yes",171,"Rarely","Never","Sometimes","Never","Never","Very frequently","Sometimes","Never","Never","Sometimes","Very frequently","Rarely","Sometimes","Very frequently","Sometimes","Sometimes",8,7,7,4,"Improve"
29,"Apple Music",1.5,"Yes","No","Yes","Rock","Yes","Yes",108,"Rarely","Never","Sometimes","Never","Never","Rarely","Rarely","Never","Never","Never","Rarely","Very frequently","Very frequently","Very frequently","Very frequently","Never",8,7,1,2,"Improve"
56,"I do not use a streaming service.",1,"Yes","No","No","Pop","No","No",105,"Never","Rarely","Never","Rarely","Never","Never","Never","Never","Never","Never","Never","Sometimes","Sometimes","Never","Sometimes","Never",6,5,10,2,"No effect"
17,"Spotify",2,"Yes","Yes","No","Pop","Yes","No",76,"Sometimes","Never","Never","Never","Never","Rarely","Rarely","Never","Never","Rarely","Never","Very frequently","Rarely","Rarely","Never","Rarely",7,6,0,4,"Improve"
22,"Spotify",1,"Yes","No","No","Pop","No","No",108,"Rarely","Rarely","Sometimes","Never","Never","Never","Rarely","Never","Never","Never","Never","Very frequently","Never","Never","Rarely","Rarely",7,4,0,0,"Improve"
26,"Spotify",4,"Yes","No","No","Pop","Yes","Yes",140,"Sometimes","Sometimes","Rarely","Rarely","Never","Sometimes","Never","Rarely","Never","Rarely","Never","Very frequently","Rarely","Rarely","Very frequently","Rarely",8,7,2,10,"No effect"
30,"Spotify",1,"Yes","No","No","EDM","Yes","Yes",200,"Never","Never","Very frequently","Never","Never","Sometimes","Never","Never","Never","Never","Rarely","Never","Never","Sometimes","Never","Never",4,4,4,0,"Improve"
49,"Spotify",2,"Yes","No","No","Folk","Yes","No",147,"Rarely","Rarely","Sometimes","Very frequently","Never","Sometimes","Rarely","Never","Never","Sometimes","Rarely","Sometimes","Sometimes","Sometimes","Rarely","Rarely",0,0,2,0,"No effect"
22,"Spotify",2,"Yes","Yes","Yes","EDM","Yes","Yes",120,"Rarely","Sometimes","Very frequently","Sometimes","Rarely","Sometimes","Sometimes","Rarely","Rarely","Sometimes","Very frequently","Sometimes","Sometimes","Very frequently","Sometimes","Very frequently",6,4,0,1,"Improve"
32,"Spotify",2,"No","No","No","Rock","Yes","No",158,"Never","Rarely","Sometimes","Rarely","Never","Sometimes","Never","Never","Never","Sometimes","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Never",4,7,0,0,"Improve"
32,"I do not use a streaming service.",1,"No","No","No","Rock","No","No",110,"Rarely","Sometimes","Never","Sometimes","Never","Never","Never","Never","Rarely","Never","Sometimes","Very frequently","Rarely","Never","Very frequently","Never",8,4,3,0,"No effect"
22,"YouTube Music",6,"Yes","No","No","Country","Yes","No",103,"Never","Very frequently","Never","Rarely","Never","Sometimes","Never","Never","Rarely","Never","Sometimes","Never","Never","Sometimes","Very frequently","Rarely",5,5,3,3,"Improve"
17,"Spotify",2,"Yes","No","No","Rock","Yes","Yes",93,"Never","Rarely","Sometimes","Sometimes","Rarely","Rarely","Sometimes","Rarely","Rarely","Rarely","Very frequently","Very frequently","Sometimes","Sometimes","Very frequently","Sometimes",0,8,0,0,"Improve"
21,"Spotify",4,"Yes","Yes","No","Rock","Yes","No",62,"Rarely","Never","Never","Rarely","Never","Never","Never","Never","Never","Never","Rarely","Very frequently","Rarely","Never","Very frequently","Never",7,4,6,1,"Improve"
17,"Spotify",1.5,"Yes","No","No","Rock","Yes","Yes",180,"Very frequently","Never","Rarely","Rarely","Never","Never","Never","Never","Very frequently","Rarely","Rarely","Sometimes","Sometimes","Rarely","Very frequently","Rarely",8,7,7,3,"No effect"
25,"Spotify",3,"Yes","No","No","Metal","No","No",150,"Sometimes","Sometimes","Rarely","Rarely","Never","Never","Never","Never","Never","Never","Very frequently","Sometimes","Sometimes","Never","Very frequently","Sometimes",9,8,6,2,"Improve"
15,"Spotify",4,"Yes","No","Yes","Rock","Yes","No",105,"Never","Never","Rarely","Never","Never","Rarely","Never","Sometimes","Never","Very frequently","Sometimes","Very frequently","Sometimes","Rarely","Very frequently","Never",8,6,4,0,"Improve"
13,"Spotify",10,"Yes","No","No","Rap","Yes","No",140,"Never","Never","Rarely","Never","Never","Sometimes","Never","Never","Never","Sometimes","Never","Rarely","Rarely","Very frequently","Never","Rarely",7,2,0,8,"Improve"
38,"Spotify",3,"Yes","No","No","Rock","No","Yes",137.440992874158,"Very frequently","Rarely","Never","Rarely","Never","Never","Sometimes","Never","Rarely","Never","Very frequently","Sometimes","Rarely","Never","Very frequently","Never",6,7,7,7,"No effect"
23,"Apple Music",3,"No","No","No","Rock","Yes","No",161,"Rarely","Never","Sometimes","Sometimes","Never","Rarely","Never","Never","Never","Rarely","Rarely","Sometimes","Never","Never","Very frequently","Sometimes",7,6,4,2,"Improve"
17,"Spotify",3,"Yes","No","No","Pop","Yes","Yes",120,"Sometimes","Sometimes","Sometimes","Rarely","Rarely","Very frequently","Rarely","Very frequently","Never","Very frequently","Never","Very frequently","Very frequently","Very frequently","Very frequently","Rarely",1,1,1,0,"Improve"
59,"YouTube Music",2,"Yes","No","No","Pop","Yes","No",103,"Rarely","Never","Very frequently","Rarely","Never","Rarely","Sometimes","Rarely","Rarely","Rarely","Never","Very frequently","Very frequently","Rarely","Sometimes","Never",1,1,3,0,"Improve"
22,"Spotify",2,"Yes","Yes","Yes","Pop","Yes","No",72,"Rarely","Rarely","Never","Rarely","Rarely","Sometimes","Sometimes","Never","Rarely","Rarely","Never","Very frequently","Very frequently","Sometimes","Sometimes","Rarely",2,7,1,2,"Improve"
17,"Apple Music",3,"Yes","No","No","Pop","Yes","Yes",113,"Sometimes","Rarely","Never","Never","Never","Very frequently","Sometimes","Very frequently","Rarely","Never","Never","Very frequently","Rarely","Very frequently","Sometimes","Rarely",6,2,3,1,"No effect"
27,"Spotify",2,"No","No","No","Pop","No","No",120,"Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Rarely","Very frequently","Never","Sometimes","Sometimes","Rarely",7,7,3,2,"No effect"
23,"Spotify",5,"Yes","Yes","No","Video game music","No","No",95,"Sometimes","Never","Sometimes","Never","Never","Rarely","Rarely","Rarely","Never","Sometimes","Rarely","Sometimes","Rarely","Sometimes","Sometimes","Sometimes",8,7,0,3,"No effect"
15,"Spotify",6,"Yes","No","No","Rock","No","No",97,"Rarely","Never","Sometimes","Rarely","Never","Sometimes","Rarely","Never","Never","Rarely","Rarely","Sometimes","Sometimes","Never","Very frequently","Sometimes",8,3,5,2,"Improve"
22,"Spotify",3,"Yes","Yes","Yes","EDM","Yes","No",140,"Rarely","Rarely","Very frequently","Sometimes","Rarely","Sometimes","Rarely","Never","Never","Rarely","Sometimes","Sometimes","Sometimes","Sometimes","Very frequently","Very frequently",5,4,2,0,"Improve"
23,"Spotify",5,"Yes","No","No","Lofi","Yes","Yes",120,"Very frequently","Rarely","Sometimes","Sometimes","Rarely","Rarely","Sometimes","Rarely","Rarely","Very frequently","Rarely","Very frequently","Very frequently","Rarely","Very frequently","Very frequently",7,10,10,1,"Improve"
19,"Spotify",5,"Yes","No","No","Country","Yes","Yes",118,"Rarely","Very frequently","Never","Very frequently","Sometimes","Rarely","Sometimes","Never","Very frequently","Rarely","Never","Sometimes","Sometimes","Rarely","Sometimes","Never",7,6,8,4,"Improve"
32,"Spotify",6,"Yes","No","No","Rock","No","No",91,"Never","Rarely","Sometimes","Never","Never","Rarely","Rarely","Never","Never","Never","Never","Sometimes","Rarely","Rarely","Very frequently","Rarely",8,7,0,9,"Improve"
40,"Spotify",6,"Yes","No","No","Rock","Yes","Yes",128,"Sometimes","Sometimes","Sometimes","Sometimes","Rarely","Sometimes","Sometimes","Never","Sometimes","Sometimes","Rarely","Sometimes","Sometimes","Sometimes","Very frequently","Rarely",10,7,3,3,"No effect"
21,"Spotify",3,"Yes","No","No","Country","Yes","No",86,"Never","Very frequently","Rarely","Sometimes","Rarely","Sometimes","Never","Never","Never","Never","Rarely","Sometimes","Rarely","Sometimes","Sometimes","Never",6,5,5,3,"Improve"
21,"Spotify",10,"Yes","No","No","Rock","Yes","Yes",107,"Rarely","Never","Very frequently","Sometimes","Never","Rarely","Rarely","Rarely","Rarely","Sometimes","Sometimes","Very frequently","Sometimes","Rarely","Very frequently","Very frequently",8,7,6,8,"No effect"
23,"Spotify",2,"Yes","No","No","Video game music","Yes","Yes",180,"Sometimes","Never","Very frequently","Never","Never","Rarely","Rarely","Sometimes","Never","Sometimes","Never","Very frequently","Rarely","Sometimes","Sometimes","Very frequently",10,7,7,3,"Worsen"
35,"Spotify",3,"No","Yes","No","Folk","Yes","No",0,"Sometimes","Sometimes","Never","Sometimes","Never","Never","Rarely","Never","Never","Rarely","Never","Rarely","Never","Never","Sometimes","Sometimes",8,2,2,8,"No effect"
18,"Spotify",1.5,"No","No","No","Hip hop","No","No",150,"Never","Never","Never","Never","Never","Sometimes","Sometimes","Never","Never","Sometimes","Never","Very frequently","Never","Sometimes","Sometimes","Never",3,7,4,0,"Improve"
21,"I do not use a streaming service.",10,"Yes","No","No","Pop","Yes","No",112,"Never","Rarely","Never","Never","Never","Rarely","Never","Never","Never","Never","Never","Sometimes","Rarely","Never","Sometimes","Never",9,7,5,5,"Improve"
22,"I do not use a streaming service.",2,"Yes","No","No","Video game music","No","Yes",119.217629984744,"Never","Never","Rarely","Never","Never","Sometimes","Rarely","Never","Rarely","Never","Never","Very frequently","Never","Rarely","Sometimes","Very frequently",5,3,0,0,"Improve"
23,"Spotify",3,"Yes","Yes","Yes","Rock","Yes","Yes",66,"Rarely","Rarely","Never","Very frequently","Never","Sometimes","Sometimes","Never","Never","Never","Very frequently","Very frequently","Very frequently","Sometimes","Very frequently","Never",10,7,0,10,"Improve"
13,"Spotify",2.5,"Yes","No","No","Folk","No","No",118,"Never","Sometimes","Never","Very frequently","Never","Never","Never","Never","Never","Never","Never","Very frequently","Never","Never","Never","Never",8,0,0,3,"Improve"
19,"Spotify",3,"Yes","No","No","K pop","Yes","Yes",110,"Sometimes","Rarely","Rarely","Sometimes","Never","Rarely","Never","Very frequently","Never","Sometimes","Never","Very frequently","Very frequently","Very frequently","Very frequently","Never",6,0,3,0,"Improve"
33,"YouTube Music",0.5,"Yes","Yes","No","Rock","No","No",80,"Sometimes","Never","Rarely","Never","Never","Never","Rarely","Never","Never","Rarely","Sometimes","Rarely","Never","Never","Sometimes","Rarely",7,9,4,6,"Improve"
18,"Spotify",16,"Yes","No","Yes","Jazz","Yes","Yes",90,"Sometimes","Sometimes","Sometimes","Sometimes","Sometimes","Very frequently","Very frequently","Very frequently","Very frequently","Very frequently","Very frequently","Very frequently","Very frequently","Very frequently","Very frequently","Rarely",3,2,5,6,"Improve"
17,"YouTube Music",6,"Yes","Yes","No","Classical","Yes","Yes",120,"Very frequently","Rarely","Never","Never","Never","Rarely","Sometimes","Rarely","Never","Sometimes","Never","Very frequently","Never","Never","Never","Rarely",4,2,0,0,"Improve"
16,"Spotify",3,"Yes","No","No","EDM","Yes","Yes",100,"Rarely","Never","Very frequently","Never","Never","Very frequently","Sometimes","Very frequently","Never","Rarely","Sometimes","Very frequently","Rarely","Very frequently","Very frequently","Very frequently",4,2,0,0,"Improve"
18,"YouTube Music",0.5,"No","No","No","Rock","Yes","No",66,"Rarely","Never","Never","Sometimes","Never","Never","Never","Never","Never","Never","Never","Sometimes","Rarely","Never","Very frequently","Never",5,3,1,0,"No effect"
19,"Spotify",5,"Yes","No","No","K pop","Yes","Yes",158,"Rarely","Sometimes","Sometimes","Never","Never","Rarely","Rarely","Very frequently","Rarely","Never","Never","Very frequently","Very frequently","Rarely","Rarely","Rarely",4,2,2,1,"Improve"
15,"YouTube Music",2,"No","Yes","No","Rap","Yes","Yes",105,"Very frequently","Sometimes","Never","Very frequently","Sometimes","Very frequently","Sometimes","Sometimes","Never","Very frequently","Sometimes","Rarely","Very frequently","Very frequently","Sometimes","Very frequently",4,0,6,5,"No effect"
17,"Spotify",2,"Yes","No","No","Pop","Yes","Yes",208,"Never","Never","Never","Never","Never","Rarely","Never","Rarely","Never","Never","Very frequently","Very frequently","Never","Very frequently","Very frequently","Very frequently",7,6,3,1,"Improve"
25,"Spotify",2,"Yes","No","No","Lofi","Yes","Yes",91,"Sometimes","Rarely","Sometimes","Rarely","Never","Very frequently","Very frequently","Rarely","Sometimes","Very frequently","Never","Sometimes","Rarely","Sometimes","Very frequently","Sometimes",7,8,6,2,"Improve"
24,"Other streaming service",1.5,"Yes","No","No","Video game music","No","Yes",171,"Sometimes","Rarely","Very frequently","Rarely","Sometimes","Sometimes","Sometimes","Very frequently","Rarely","Very frequently","Very frequently","Very frequently","Sometimes","Sometimes","Very frequently","Very frequently",3,4,1,1,"Improve"
23,"Spotify",1,"Yes","Yes","No","Jazz","Yes","No",150,"Rarely","Rarely","Very frequently","Never","Rarely","Never","Very frequently","Rarely","Rarely","Never","Sometimes","Rarely","Sometimes","Never","Very frequently","Sometimes",9,7,2,1,"Improve"
16,"Spotify",10,"Yes","Yes","No","EDM","Yes","Yes",180,"Rarely","Rarely","Very frequently","Sometimes","Never","Rarely","Sometimes","Rarely","Never","Rarely","Rarely","Very frequently","Sometimes","Sometimes","Sometimes","Sometimes",10,9,3,2,"Improve"
25,"YouTube Music",2,"Yes","No","No","Metal","Yes","Yes",126.462331074849,"Rarely","Rarely","Rarely","Rarely","Sometimes","Rarely","Sometimes","Never","Rarely","Rarely","Very frequently","Sometimes","Rarely","Rarely","Very frequently","Sometimes",9,9,7,3,"Improve"
16,"Spotify",15,"Yes","Yes","Yes","EDM","Yes","No",85,"Rarely","Never","Very frequently","Never","Never","Rarely","Rarely","Never","Never","Rarely","Sometimes","Sometimes","Never","Very frequently","Very frequently","Sometimes",8,10,9,2,"Improve"
20,"I do not use a streaming service.",0.5,"No","No","No","Metal","Yes","Yes",150,"Sometimes","Rarely","Sometimes","Never","Never","Sometimes","Sometimes","Never","Never","Sometimes","Sometimes","Rarely","Rarely","Rarely","Sometimes","Sometimes",8,9,6,4,"Improve"
17,"Spotify",3,"Yes","No","No","Metal","Yes","No",104,"Never","Rarely","Rarely","Never","Sometimes","Sometimes","Never","Never","Never","Never","Very frequently","Never","Rarely","Sometimes","Very frequently","Never",5,6,9,9,"Improve"
29,"I do not use a streaming service.",2,"Yes","No","No","Metal","Yes","No",136.673079065529,"Never","Never","Never","Never","Never","Never","Never","Never","Never","Never","Very frequently","Sometimes","Never","Never","Very frequently","Never",9,3,7,2,"Improve"
20,"Spotify",4,"Yes","No","No","Hip hop","Yes","No",85,"Never","Rarely","Very frequently","Rarely","Never","Very frequently","Never","Never","Never","Never","Never","Sometimes","Sometimes","Very frequently","Sometimes","Never",3,2,1,6,"Improve"
16,"Spotify",2,"Yes","No","No","Folk","Yes","No",130.070364408023,"Never","Never","Never","Very frequently","Never","Rarely","Never","Never","Never","Never","Sometimes","Very frequently","Never","Rarely","Sometimes","Never",7,7,4,0,"Improve"
21,"Spotify",1,"Yes","No","No","Rock","Yes","No",147,"Rarely","Sometimes","Sometimes","Sometimes","Never","Sometimes","Rarely","Rarely","Rarely","Rarely","Rarely","Very frequently","Never","Sometimes","Very frequently","Very frequently",7,9,1,2,"Improve"
16,"Spotify",24,"Yes","No","No","Rock","Yes","Yes",120,"Never","Never","Rarely","Never","Never","Never","Never","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","Rarely","Sometimes","Rarely",5,1,9,1,"Improve"
43,"Spotify",1,"Yes","No","No","Pop","Yes","No",134,"Sometimes","Never","Never","Sometimes","Rarely","Sometimes","Rarely","Never","Never","Rarely","Never","Very frequently","Rarely","Rarely","Sometimes","Never",3,3,0,0,"Improve"
32,"Pandora",2,"Yes","Yes","No","Classical","Yes","No",113.415668052256,"Very frequently","Sometimes","Rarely","Very frequently","Sometimes","Sometimes","Sometimes","Rarely","Sometimes","Rarely","Very frequently","Very frequently","Sometimes","Rarely","Very frequently","Very frequently",8,7,5,4,"Improve"
